station_id,opis_id,name,address,city,state,rack_id,retail_price,latitude,longitude,location_accuracy,geocode_confidence
69686,69686,CASEYS #3472,SR-125 & SR-78,Virginia,IL,368,3.759,39.945475,-90.212681,city,
69687,69687,CASEYS #3470,US-421 & SR-16,Monon,IN,375,3.779,40.861176,-86.863537,city,
69688,69688,CASEYS #3431,US-150 & SR-54,Farmer City,IL,368,3.339,40.244689,-88.663385,city,
69693,69693,MAVERIK COUNTRY STORE #527,"US-89, EXIT 405",Ogden,UT,835,3.439,41.223,-111.97383,city,
69694,69694,MAVERIK COUNTRY STORE #533,US-91 & SR-101,Wellsville,UT,835,3.444,41.634302,-111.931676,city,
69695,69695,MAVERIK COUNTRY STORE #488,"I-15/US-89, EXIT 288",Draper,UT,835,3.44566666,40.52467,-111.86382,city,
69696,69696,MAVERIK COUNTRY STORE #531,"I-80/15, EXIT 305D",Logan,UT,835,3.43066666,41.73549,-111.83439,city,
69698,69698,KUM & GO #0891,I-44 (EASTBOUND),Vinita,OK,560,3.059,36.633353,-95.138164,city,
69699,69699,CIRCLE K #2741552,"SR-969, SR-130, EXIT 444",Austin,TX,595,2.93233333,30.26715,-97.74306,city,
69701,69701,PUMP & PANTRY #48,US-30 & SR-25,Fremont,NE,486,3.319,41.43333,-96.49808,city,
69702,69702,SPEEDWAY #7159,"I-40/SR-66, EXIT 412",Dandridge,TN,405,3.259,36.001798,-83.404435,city,
69703,69703,CIRCLE K #2741831,"I-35, EXIT 8B & SR-20",Laredo,TX,693,2.90233333,27.50641,-99.50754,city,
69707,69707,SUPER S TRAVEL PLAZA,"I-49, EXIT 241",Ida,LA,745,3.059,32.993393,-93.902186,city,
69708,69708,TA Express #289,US-59,Nacogdoches,TX,618,3.139,31.60351,-94.65549,city,
69709,69709,LOVES TRAVEL STOP #626,US-287,Dumas,TX,585,3.41566666,35.86559,-101.97324,city,
69710,69710,LOVES TRAVEL STOP #625,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.47233333,41.142778,-102.9775,city,
69711,69711,PILOT TRAVEL CENTER #1047,"I-295, EXIT 25",Jacksonville,FL,75,3.3715,30.33218,-81.65565,city,
69712,69712,LOVES TRAVEL STOP #650,"I-84/US-30, EXIT 159",Boardman,OR,935,3.52233333,45.827165,-119.72057,city,
69713,69713,EAGLE #56,"I-45, Exit 189",Teague,TX,765,3.48233333,31.632772,-96.27778,city,
69715,69715,CASEYS #2712,SR-8/SR-14,Superior,NE,413,3.36233333,40.031537,-98.077872,city,
69719,69719,SHEETZ #033,"I-99/US-220, EXIT 41 & SR-865",Altoona,PA,14,3.529,40.51868,-78.39474,city,
69720,69720,PILOT TRAVEL CENTER #1046,US-27 & SR-80,South Bay,FL,176,3.799,26.670126,-80.731214,city,
69721,69721,MFA,US-36,Brookfield,MO,276,3.249,39.784612,-93.071948,city,
69723,69723,SPEEDWAY #5036,I-90 & US-20,Hampshire,IL,293,3.369,42.080748,-88.517033,city,
69727,69727,PETRO-CARD 24 #910880,SR-6/13,Gallatin,MO,276,3.299,39.902486,-93.978748,city,
69729,69729,MFA OIL,US-63 & HWY E,Queen City,MO,494,3.249,40.415175,-92.566263,city,
69731,69731,PETRO-CARD 24 #910561,"I-49, EXIT 102A",Nevada,MO,277,3.349,37.840853,-94.357127,city,
69732,69732,PETRO-CARD 24 #911043,US-65,Sedalia,MO,392,3.249,38.70446,-93.22826,city,
69735,69735,PETRO-CARD 24 #910200,US-65 & BUS US-36,Chillicothe,MO,276,3.289,39.796569,-93.550887,city,
69740,69740,LOVES TRAVEL STOP #613,"I-81, EXIT 24 & SR-80",Meadowview,VA,185,3.599,36.761175,-81.851205,city,
69741,69741,LOVES TRAVEL STOP #659,"I-10, EXIT 133B",Tolleson,AZ,930,3.569,33.434686,-112.277444,city,
69742,69742,LOVES TRAVEL STOP #630,US-412/64,Enid,OK,337,3.78733333,36.39559,-97.87839,city,
69743,69743,LOVES TRAVEL STOP #647,US-81,Belleville,KS,523,3.81566666,39.824054,-97.629016,city,
69744,69744,LOVES TRAVEL STOP #632,US-54 & US-83,Liberal,KS,585,3.66566666,37.04308,-100.921,city,
69745,69745,PILOT #1070,"I-40/US-54, EXIT 277 & US-84",Santa Rosa,NM,580,3.46233333,34.933276,-104.682155,city,
69746,69746,Maverik Country Store #5014,I-80 E EXIT 110 & HWY169,De Soto,IA,320,3.099,41.533285,-94.027582,city,
69747,69747,SUNOCO,I-69 & YS HWY 30,Fort Wayne,IN,370,3.604,41.1306,-85.12886,city,
69748,69748,SUNOCO,SR-930 E,Fort Wayne,IN,370,3.59733333,41.1306,-85.12886,city,
69750,69750,CIRCLE K #2704041,"I-35, EXIT 183",New Braunfels,TX,740,2.859,29.703,-98.12445,city,
69751,69751,MFA,CR-37,Purdy,MO,416,3.349,36.806917,-93.916376,city,
